"gid","id","muni_id","muni","parloc_id","fy","geom"
1,4520,49,"Cambridge","F_766866_2959374",2012,"SRID=26986;POINT(233748.861599997 902045.352200001)"
2,4518,35,"Boston","M_239835_904064",2017,"SRID=26986;POINT(239759.492200002 904050.266899999)"
3,4519,35,"Boston","M_240143_904498",2017,"SRID=26986;POINT(240152.836000003 904494.331599999)"
4,4521,35,"Boston","M_234908_899298",2017,"SRID=26986;POINT(234903.293200001 899297.109299999)"
5,4525,24,"Belchertown","M_124582_891817",2018,"SRID=26986;POINT(124573.315300003 891830.435600001)"
6,4527,161,"Ludlow","M_119400_878772",2014,"SRID=26986;POINT(119052.431199998 878788.349199999)"
7,4531,35,"Boston","M_236863_901561",2017,"SRID=26986;POINT(236866.603 901559.796799999)"
8,4532,35,"Boston","M_229445_900796",2017,"SRID=26986;POINT(229463.193800002 900807.611000001)"
9,4534,35,"Boston","M_241216_904950",2017,"SRID=26986;POINT(241158.994199999 905084.129900001)"
10,4576,275,"South Hadley","M_111118_890238",2018,"SRID=26986;POINT(111094.053599998 890220.313299999)"
11,4623,214,"Northampton","M_107189_896914",2014,"SRID=26986;POINT(107189.561899997 896910.380800001)"
12,4628,274,"Somerville","F_769407_2968328",2013,"SRID=26986;POINT(234518.6523 904772.930799998)"
13,4536,35,"Boston","M_235722_899839",2017,"SRID=26986;POINT(235770.555500001 899867.9648)"
14,4537,248,"Revere","F_794086_2971687",2017,"SRID=26986;POINT(242039.817599997 905774.411400001)"
15,4545,207,"Newton","F_746444_2936115",2017,"SRID=26986;POINT(227522.936899997 894927.125599999)"
16,4547,35,"Boston","M_236256_900084",2017,"SRID=26986;POINT(236252.240500003 900086.034499999)"
17,4548,35,"Boston","M_237156_901325",2017,"SRID=26986;POINT(237155.519599997 901321.612)"
18,4551,14,"Ashland","F_660351_2920611",2018,"SRID=26986;POINT(201285.710000001 890178.1296)"
19,4555,49,"Cambridge","F_764612_2955918",2012,"SRID=26986;POINT(233076.557300001 900976.043699998)"
20,4639,8,"Amherst","F_378200_2968732",2011,"SRID=26986;POINT(115617.412299998 904509.9164)"
21,4577,30,"Beverly","F_822665_3025444",2018,"SRID=26986;POINT(250744.4943 922156.028099999)"
22,4579,30,"Beverly","F_814038_3038832",2018,"SRID=26986;POINT(248232.711199999 926250.331900001)"
23,4592,30,"Beverly","F_827015_3035327",2018,"SRID=26986;POINT(251963.911899999 925126.4802)"
24,4594,71,"Danvers","F_813733_3036339",2017,"SRID=26986;POINT(248011.456600003 925465.0339)"
25,4595,30,"Beverly","F_821895_3024256",2018,"SRID=26986;POINT(250514.7839 921797.949099999)"
26,4601,37,"Boxborough","F_656063_2998032",2013,"SRID=26986;POINT(199979.746399999 913796.551100001)"
27,4602,24,"Belchertown","M_124711_891913",2018,"SRID=26986;POINT(124714.769400001 891925.3048)"
28,4603,160,"Lowell","F_703895_3050892",2015,"SRID=26986;POINT(214539.585000001 929916.9485)"
29,4605,24,"Belchertown","M_124711_891913",2018,"SRID=26986;POINT(124714.769400001 891925.3048)"
30,4618,214,"Northampton","M_102412_898863",2014,"SRID=26986;POINT(102413.3182 898863.4395)"
31,4619,351,"Yarmouth","M_309057_827557",2012,"SRID=26986;POINT(309055.019699998 827563.107700001)"
32,3874,35,"Boston","M_236170_900287",2017,"SRID=26986;POINT(236167.368000001 900291.210299999)"
33,4629,49,"Cambridge","F_759209_2965905",2012,"SRID=26986;POINT(231403.476400003 904008.208500002)"
34,4630,284,"Stoneham","F_766983_2990256",2017,"SRID=26986;POINT(233778.070299998 911406.943700001)"
35,4633,46,"Brookline","F_752928_2945376",2011,"SRID=26986;POINT(229551.991999999 897815.746300001)"
36,4635,48,"Burlington","M_223532_913855",2013,"SRID=26986;POINT(223539.676899999 913851.079599999)"
37,4648,35,"Boston","M_231824_900170",2017,"SRID=26986;POINT(231818.041199997 900165.768599998)"
38,4654,165,"Malden","F_771282_2981154",2017,"SRID=26986;POINT(235084.896399997 908657.572900001)"
39,323,35,"Boston","M_232470_890186",2017,"SRID=26986;POINT(232481.450999998 890198.731199998)"
40,3381,35,"Boston","M_234232_898559",2017,"SRID=26986;POINT(234235.8288 898566.144400001)"
41,2990,35,"Boston","M_234687_895977",2017,"SRID=26986;POINT(234686.461999997 895979.2643)"
42,4700,0,,,0,"SRID=26986;POINT(-1.79769313486232e+308 -1.79769313486232e+308)"
43,1,187,"Millis","M_208793_881841",2018,"SRID=26986;POINT(208713.089900002 881588.625100002)"
44,11,35,"Boston","M_235734_899102",2017,"SRID=26986;POINT(235724.177000001 899103.515299998)"
45,25,35,"Boston","M_232694_898885",2017,"SRID=26986;POINT(232693.6193 898885.3792)"
46,26,35,"Boston","M_232613_898801",2017,"SRID=26986;POINT(232612.429200001 898800.694699999)"
47,79,35,"Boston","M_238769_899850",2017,"SRID=26986;POINT(238844.118900001 899698.334100001)"
48,82,35,"Boston","M_233416_898837",2017,"SRID=26986;POINT(233440.047399998 898867.166099999)"
49,116,35,"Boston","M_232722_899024",2017,"SRID=26986;POINT(232738.158399999 899014.123599999)"
50,122,35,"Boston","M_232436_899100",2017,"SRID=26986;POINT(232430.273100004 899104.293000001)"
51,126,35,"Boston","M_232436_899100",2017,"SRID=26986;POINT(232430.273100004 899104.293000001)"
52,135,35,"Boston","M_232436_899100",2017,"SRID=26986;POINT(232430.273100004 899104.293000001)"
53,137,35,"Boston","M_232804_898353",2017,"SRID=26986;POINT(232803.8411 898352.479499999)"
54,176,35,"Boston","M_236938_899471",2017,"SRID=26986;POINT(236936.498800002 899477.230700001)"
55,183,35,"Boston","M_236331_901778",2017,"SRID=26986;POINT(236345.167099997 901775.230999999)"
56,280,35,"Boston","M_234497_899730",2017,"SRID=26986;POINT(234486.070799999 899730.1193)"
57,371,35,"Boston","M_232722_899024",2017,"SRID=26986;POINT(232738.158399999 899014.123599999)"
58,372,35,"Boston","M_231558_900279",2017,"SRID=26986;POINT(231572.450999998 900212.272399999)"
59,375,35,"Boston","M_233621_898651",2017,"SRID=26986;POINT(233677.996299997 898645.377099998)"
60,377,35,"Boston","M_231558_900279",2017,"SRID=26986;POINT(231499.053300001 900256.992199998)"
61,383,35,"Boston","M_241658_900923",2017,"SRID=26986;POINT(239070.349699996 901543.7918)"
62,387,35,"Boston","M_232296_898443",2017,"SRID=26986;POINT(232301.067900002 898448.259199999)"
63,399,35,"Boston","M_235988_901138",2017,"SRID=26986;POINT(235987.9212 901138.7777)"
64,400,35,"Boston","M_234482_894386",2017,"SRID=26986;POINT(234486.509499997 894388.770500001)"
65,218,35,"Boston","M_236550_902948",2017,"SRID=26986;POINT(236544.898500003 902956.047800001)"
66,373,35,"Boston","M_231128_889821",2017,"SRID=26986;POINT(231131.711199999 889813.784299999)"
67,419,35,"Boston","M_234740_892975",2017,"SRID=26986;POINT(234740.028399996 892978.2359)"
68,420,35,"Boston","M_241658_900923",2017,"SRID=26986;POINT(239070.349699996 901543.7918)"
69,428,57,"Chelsea","F_783100_2968642",2012,"SRID=26986;POINT(238690.065700002 904845.134199999)"
70,429,35,"Boston","M_236223_901708",2017,"SRID=26986;POINT(236251.377899997 901671.109700002)"
71,433,57,"Chelsea","F_780020_2970271",2012,"SRID=26986;POINT(237773.885200001 905345.666200001)"
72,438,57,"Chelsea","F_780090_2970962",2012,"SRID=26986;POINT(237772.499200001 905563.8981)"
73,456,57,"Chelsea","F_779703_2968984",2012,"SRID=26986;POINT(237648.384499997 904956.6019)"
74,463,248,"Revere","F_789577_2971716",2017,"SRID=26986;POINT(240630.9344 905759.044)"
75,471,248,"Revere","F_798423_2984295",2017,"SRID=26986;POINT(243359.641000003 909616.6965)"
76,496,248,"Revere","F_786420_2986692",2017,"SRID=26986;POINT(239705.9036 910342.065900002)"
77,511,176,"Medford","F_767154_2974987",2012,"SRID=26986;POINT(233829.491400003 906777.218899999)"
78,540,274,"Somerville","F_762566_2963932",2013,"SRID=26986;POINT(232429.0088 903409.4124)"
79,541,274,"Somerville","F_762566_2963932",2013,"SRID=26986;POINT(232429.0088 903409.4124)"
80,550,274,"Somerville","F_769570_2964839",2013,"SRID=26986;POINT(234570.220799997 903679.356699999)"
81,561,274,"Somerville","F_757147_2970158",2013,"SRID=26986;POINT(230759.547700003 905299.3356)"
82,562,274,"Somerville","F_757147_2970158",2013,"SRID=26986;POINT(230751.589400001 905316.450100001)"
83,568,274,"Somerville","F_766862_2969492",2013,"SRID=26986;POINT(233772.758599997 905114.179000001)"
84,604,274,"Somerville","F_757147_2970158",2013,"SRID=26986;POINT(230761.118000001 905304.473999999)"
85,619,155,"Lexington","F_731490_2988711",2017,"SRID=26986;POINT(222950.313500002 910962.687399998)"
86,658,213,"North Reading","M_233457_925227",2013,"SRID=26986;POINT(233573.381099999 925227.9586)"
87,659,213,"North Reading","M_230854_925821",2013,"SRID=26986;POINT(230835.175399996 925902.2608)"
88,676,229,"Peabody","F_810923_3021207",2017,"SRID=26986;POINT(247185.165399998 920856.0286)"
89,684,23,"Bedford","F_717507_3003586",2018,"SRID=26986;POINT(218695.085500002 915498.107099999)"
90,696,2,"Acton","F_681454_3014276",2012,"SRID=26986;POINT(207766.395900004 918698.269699998)"
91,697,2,"Acton","F_681454_3014276",2012,"SRID=26986;POINT(207565.687700003 918709.5233)"
92,763,264,"Scituate","M_264061_883071",2017,"SRID=26986;POINT(264031.5295 883083.556699999)"
93,801,307,"Walpole","F_730560_2878143",2014,"SRID=26986;POINT(222669.830700003 877262.1448)"
94,813,141,"Hudson","M_194753_902825",2017,"SRID=26986;POINT(194741.195600003 902816.001699999)"
95,826,171,"Marshfield","M_265569_875489",2013,"SRID=26986;POINT(265564.892300002 875491.868799999)"
96,833,171,"Marshfield","M_261476_872941",2013,"SRID=26986;POINT(261484.392899998 872979.857099999)"
97,834,171,"Marshfield","M_261758_873253",2013,"SRID=26986;POINT(261756.688900001 873241.9758)"
98,835,171,"Marshfield","M_261645_873238",2013,"SRID=26986;POINT(261643.481299996 873224.828000002)"
99,836,171,"Marshfield","M_262670_872976",2013,"SRID=26986;POINT(262678.029899999 872969.064199999)"
100,847,82,"Duxbury","F_862144_2838301",2017,"SRID=26986;POINT(262790.850400001 865109.227200001)"
101,848,82,"Duxbury","F_856752_2842926",2017,"SRID=26986;POINT(261111.138300002 866566.5458)"
102,855,82,"Duxbury","F_881126_2838269",2017,"SRID=26986;POINT(268549.377400003 865111.763300002)"
103,858,82,"Duxbury","F_881451_2839700",2017,"SRID=26986;POINT(268593.002400003 865583.3704)"
104,888,101,"Franklin","M_211428_871503",2016,"SRID=26986;POINT(211420.973700002 871505.077500001)"
105,920,350,"Wrentham","F_708456_2847743",2017,"SRID=26986;POINT(215908.676700003 867957.403999999)"
106,927,350,"Wrentham","F_698559_2852666",2017,"SRID=26986;POINT(212920.693499997 869490.048099998)"
107,968,30,"Beverly","F_816557_3035380",2018,"SRID=26986;POINT(248839.336499996 925183.725400001)"
108,1021,185,"Milford","F_646799_2883720",2017,"SRID=26986;POINT(197106.353 878956.542399999)"
109,1031,198,"Natick","M_210053_894937",2011,"SRID=26986;POINT(210075.0233 894941.394499999)"
110,1050,185,"Milford","F_654709_2876038",2017,"SRID=26986;POINT(199544.554200001 876621.739999998)"
111,1080,23,"Bedford","F_726388_3011698",2018,"SRID=26986;POINT(221438.927199997 917983.0997)"
112,1099,100,"Framingham","M_200827_894453",2012,"SRID=26986;POINT(200819.716799997 894454.7443)"
113,1148,67,"Concord","F_687012_2992945",2017,"SRID=26986;POINT(209438.105499998 912256.085099999)"
114,1157,23,"Bedford","F_717087_3003460",2018,"SRID=26986;POINT(218573.528899997 915466.288600001)"
115,1174,2,"Acton","F_679735_3010503",2012,"SRID=26986;POINT(207130.978399999 917628.087499999)"
116,1188,136,"Holliston","M_201845_880155",2016,"SRID=26986;POINT(201835.960100003 880161.897500001)"
117,1231,2,"Acton","F_669044_3009366",2012,"SRID=26986;POINT(203945.040399998 917212.778200001)"
118,1267,286,"Stow","M_196812_910669",2017,"SRID=26986;POINT(196819.002999999 910663.700399999)"
119,1281,50,"Canton","F_758804_2900827",2018,"SRID=26986;POINT(231311.935800001 884187.964299999)"
120,1297,176,"Medford","F_769571_2972458",2012,"SRID=26986;POINT(234539.851000004 905999.3004)"
121,1351,165,"Malden","F_770597_2977388",2017,"SRID=26986;POINT(234858.241700001 907500.243999999)"
122,1353,165,"Malden","F_782651_2985836",2017,"SRID=26986;POINT(238560.381300002 910094.3673)"
123,1359,101,"Franklin","M_210747_872332",2016,"SRID=26986;POINT(210692.227700002 872256.6072)"
