"id","creator_id","created_at","updated_at","rdv","asofright","ovr55","clusteros","phased","stalled","name","status","desc","project_url","mapc_notes","tagline","address","state","zip_code","height","stories","year_compl","prjarea","singfamhu","twnhsmmult","lgmultifam","tothu","gqpop","rptdemp","emploss","estemp","commsf","hotelrms","onsitepark","total_cost","team_membership_count","cancelled","private","fa_ret","fa_ofcmd","fa_indmf","fa_whs","fa_rnd","fa_edinst","fa_other","fa_hotel","other_rate","affordable","latitude","longitude","place_id","street_view_heading","street_view_pitch","street_view_latitude","street_view_longitude","street_view_image","parcel_id","mixed_use","nearest_transit","point","walkscore","programs","forty_b","residential","commercial"
1,240,"2016-07-21 18:13:04.527394","2016-09-09 15:19:20.981174",FALSE,FALSE,TRUE,FALSE,FALSE,,"Glen Ellen Country Club Housing","planning","Toll Brothers wants to build a 324-unit senior housing development, a mix of single-family and townhouse units, on a 128-acre parcel of land that now includes Glen Ellen Country Club. The Millis Planning Board approved a permit in 2012 for the development and it is good through January 2018.   ",,,"Development of 324 units of senior housing","84 Orchard St, Millis, MA 02054","MA",,,,2030,,108,216,,324,,,,0,0,,,,,FALSE,FALSE,,,,,,,,,,,42.1845218,-71.3940804,44,,,,,,,,"","SRID=4326;POINT(-71.3940804 42.1845218)","{""status"":1,""walkscore"":2,""description"":""Car-Dependent"",""updated"":""2016-02-02 19:57:29.950570"",""logo_url"":""https://cdn.walk.sc/images/api-logo.png"",""more_info_icon"":""https://cdn.walk.sc/images/api-more-info.gif"",""more_info_link"":""https://www.redfin.com/how-walk-score-works"",""ws_link"":""https://www.walkscore.com/score/loc/lat=42.1845218/lng=-71.3940804/?utm_source=mapc.org\u0026utm_medium=ws_api\u0026utm_campaign=ws_api"",""help_link"":""https://www.redfin.com/how-walk-score-works"",""snapped_lat"":42.1845,""snapped_lon"":-71.394}",,,,
2,1,"2011-03-19 07:00:00","2017-03-01 20:12:58.229018",,,,,TRUE,FALSE,"Seaport Square: Parcel L-2 to L-6","in_construction",,"http://www.bostonredevelopmentauthority.org/getattachment/bd010580-f56c-4cb9-adf7-3b35596cc97d",,"Lot area for this specific block: 6.5 acres.","Silver Line Way","MA","02210",,,2027,,0,0,1187,1187,0,0,,0,522600,0,,,,FALSE,FALSE,5226,0,0,0,0,0,0,,,,42.3509,-71.0445,393,0,35,42.3509,-71.0445,,,TRUE,"Courthouse","SRID=4326;POINT(-71.0445 42.3509)","{""status"":1,""walkscore"":82,""description"":""Very Walkable"",""updated"":""2016-04-27 01:58:59.319140"",""logo_url"":""https://cdn.walk.sc/images/api-logo.png"",""more_info_icon"":""https://cdn.walk.sc/images/api-more-info.gif"",""more_info_link"":""https://www.redfin.com/how-walk-score-works"",""ws_link"":""https://www.walkscore.com/score/loc/lat=42.3509/lng=-71.0445/?utm_source=mapc.org\u0026utm_medium=ws_api\u0026utm_campaign=ws_api"",""help_link"":""https://www.redfin.com/how-walk-score-works"",""snapped_lat"":42.351,""snapped_lon"":-71.0445}",,,,
4,1,"2011-03-19 07:00:00","2017-03-01 20:12:59.323892",,,,,FALSE,FALSE,"South Bay Planning Study (MTA Parcels)","projected",,"",,"","B","MA","02125",,,2035,,,,1500,1500,,9000,,0,2500000,,,,,FALSE,FALSE,0,0,0,0,0,0,0,,,,42.327778695,-71.0628835,398,0,35,42.327778695,-71.0628835,,,TRUE,"Bus stop: South Bay Mall @ Office Max","SRID=4326;POINT(-71.0628835 42.327778695)","{""status"":1,""walkscore"":48,""description"":""Car-Dependent"",""updated"":""2016-05-06 17:17:50.486010"",""logo_url"":""https://cdn.walk.sc/images/api-logo.png"",""more_info_icon"":""https://cdn.walk.sc/images/api-more-info.gif"",""more_info_link"":""https://www.redfin.com/how-walk-score-works"",""ws_link"":""https://www.walkscore.com/score/loc/lat=42.327778695/lng=-71.0628835/?utm_source=mapc.org\u0026utm_medium=ws_api\u0026utm_campaign=ws_api"",""help_link"":""https://www.redfin.com/how-walk-score-works"",""snapped_lat"":42.3285,""snapped_lon"":-71.0625}",,,,
5,1,"2011-03-19 07:00:00","2017-03-01 20:12:39.861795",,,,,FALSE,FALSE,"Harrison/Albany Master Plan - Back Streets","projected","SF represents net new over existing on ""developable"" parcels w/ agreed upon revised zoning","",,,"530 Harrison Ave","MA","02118",,,2035,,,,,0,,7710,,0,2427338,,,,,FALSE,FALSE,0,0,0,0,0,0,0,,,,42.341126768,-71.066495696,380,0,35,42.341126768,-71.066495696,,,,"Bus stop: Washington St @ Savoy St","SRID=4326;POINT(-71.066495696 42.341126768)","{""status"":1,""walkscore"":96,""description"":""Walker's Paradise"",""updated"":""2016-04-22 07:37:40.449690"",""logo_url"":""https://cdn.walk.sc/images/api-logo.png"",""more_info_icon"":""https://cdn.walk.sc/images/api-more-info.gif"",""more_info_link"":""https://www.redfin.com/how-walk-score-works"",""ws_link"":""https://www.walkscore.com/score/loc/lat=42.341126768/lng=-71.066495696/?utm_source=mapc.org\u0026utm_medium=ws_api\u0026utm_campaign=ws_api"",""help_link"":""https://www.redfin.com/how-walk-score-works"",""snapped_lat"":42.3405,""snapped_lon"":-71.067}",,,,
6,1,"2011-03-19 07:00:00","2016-09-09 15:19:21.08245",,,,,FALSE,FALSE,"Harvard University (Allston): Phase 1B of Master Plan","projected","Harvard Allston campus - Build out of Phase 1 of Harvard Allston Master Plan","",,"","16-60 Harvard Ave","MA","02163",,,2035,,,,350,350,263,7639,,0,2626000,,,,,FALSE,FALSE,0,0,0,0,0,0,0,,,,42.366161319,-71.122889839,4,0,35,42.366161319,-71.122889839,,,TRUE,"Bus stop: N Harvard St opp Harvard Stadium Gate 2","SRID=4326;POINT(-71.122889839 42.366161319)","{""status"":1,""walkscore"":62,""description"":""Somewhat Walkable"",""updated"":""2016-05-06 02:30:54.734310"",""logo_url"":""https://cdn.walk.sc/images/api-logo.png"",""more_info_icon"":""https://cdn.walk.sc/images/api-more-info.gif"",""more_info_link"":""https://www.redfin.com/how-walk-score-works"",""ws_link"":""https://www.walkscore.com/score/loc/lat=42.366161319/lng=-71.122889839/?utm_source=mapc.org\u0026utm_medium=ws_api\u0026utm_campaign=ws_api"",""help_link"":""https://www.redfin.com/how-walk-score-works"",""snapped_lat"":42.366,""snapped_lon"":-71.1225}",,,,
7,1,"2011-03-19 07:00:00","2017-03-01 20:13:04.783711",,,,,FALSE,FALSE,"USPS Annex","projected",,"",,"","25 Dorchester Ave","MA","02205",,,2030,,,,1500,1500,,6000,,0,1500000,,,,,FALSE,FALSE,0,15000,0,0,0,0,0,,,,42.349186191,-71.055011101,389,0,35,42.349186191,-71.055011101,,,TRUE,"South Station","SRID=4326;POINT(-71.055011101 42.349186191)","{""status"":1,""walkscore"":93,""description"":""Walker's Paradise"",""updated"":""2016-06-16 01:48:22.375060"",""logo_url"":""https://cdn.walk.sc/images/api-logo.png"",""more_info_icon"":""https://cdn.walk.sc/images/api-more-info.gif"",""more_info_link"":""https://www.redfin.com/how-walk-score-works"",""ws_link"":""https://www.walkscore.com/score/loc/lat=42.349186191/lng=-71.055011101/?utm_source=mapc.org\u0026utm_medium=ws_api\u0026utm_campaign=ws_api"",""help_link"":""https://www.redfin.com/how-walk-score-works"",""snapped_lat"":42.3495,""snapped_lon"":-71.055}",,,,
9,1,"2011-03-19 07:00:00","2017-03-06 15:34:42.949788",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Trans National Place Project at 111 Federal Street","planning","1.3 million sf commercial office, 40,000sf retail/restaurant use, one acre ground floor public-park, 31,000sf active indoor/outdoor public space at top of tower and 1,200 parking spaces.","",,"Menino-era proposal for city-owned Winthrop Square parking garage","Trans National Place","MA","02110",,,2035,,,,,0,,5280,,0,0,0,1200,,,TRUE,FALSE,0,0,0,0,0,0,0,,,,42.3542645,-71.0565291,389,30,35,42.3542645,-71.0565291,,,,"South Station","SRID=4326;POINT(-71.0565291 42.3542645)","{}",,,,
10,1,"2011-03-19 07:00:00","2016-09-09 15:19:21.126076",TRUE,,,,FALSE,FALSE,"Hood Business Park","planning","Proposed  1,168,820sf of mixed use development of Hood office park. Six buildings and three parking garages to be developed over a 15 year period at 480-570 Rutherford Avenue. ","",,"","500 D St","MA","02129",,,2027,,,,,0,,4932,,0,786000,,1765,,,FALSE,FALSE,0,0,0,0,0,0,0,,,,42.380909794,-71.07360227,9,0,35,42.380909794,-71.07360227,,,TRUE,"Bus stop: Main St @ Baldwin St","SRID=4326;POINT(-71.07360227 42.380909794)","{""status"":1,""walkscore"":60,""description"":""Somewhat Walkable"",""updated"":""2016-04-25 17:30:23.430200"",""logo_url"":""https://cdn.walk.sc/images/api-logo.png"",""more_info_icon"":""https://cdn.walk.sc/images/api-more-info.gif"",""more_info_link"":""https://www.redfin.com/how-walk-score-works"",""ws_link"":""https://www.walkscore.com/score/loc/lat=42.380909794/lng=-71.07360227/?utm_source=mapc.org\u0026utm_medium=ws_api\u0026utm_campaign=ws_api"",""help_link"":""https://www.redfin.com/how-walk-score-works"",""snapped_lat"":42.381,""snapped_lon"":-71.073}",,,,
11,1,"2011-03-19 07:00:00","2016-09-09 15:19:21.1451",,,,,FALSE,FALSE,"Harrison/Albany Master Plan - SOWA","projected","SF represents net new over existing on ""developable"" parcels w/ agreed upon revised zoning","",,"","530 Harrison Ave","MA","02118",,,2035,,,,627,627,,4141,,0,1332911,,,,,FALSE,FALSE,0,0,0,0,0,0,0,,,,42.341126768,-71.066495696,380,0,35,42.341126768,-71.066495696,,,TRUE,"Bus stop: Washington St @ Savoy St","SRID=4326;POINT(-71.066495696 42.341126768)","{""status"":1,""walkscore"":96,""description"":""Walker's Paradise"",""updated"":""2016-04-22 07:37:40.449690"",""logo_url"":""https://cdn.walk.sc/images/api-logo.png"",""more_info_icon"":""https://cdn.walk.sc/images/api-more-info.gif"",""more_info_link"":""https://www.redfin.com/how-walk-score-works"",""ws_link"":""https://www.walkscore.com/score/loc/lat=42.341126768/lng=-71.066495696/?utm_source=mapc.org\u0026utm_medium=ws_api\u0026utm_campaign=ws_api"",""help_link"":""https://www.redfin.com/how-walk-score-works"",""snapped_lat"":42.3405,""snapped_lon"":-71.067}",,,,
12,1,"2011-03-19 07:00:00","2017-03-01 20:13:00.600253",,,,,FALSE,FALSE,"Stuart St. Planning - Site 1","projected",,"",,,"145 Dartmouth St","MA","02116",,,2035,,,,,0,,4090,,0,1045000,,,,,FALSE,FALSE,0,0,0,0,0,0,0,,,,42.347379993,-71.074840007,380,0,35,42.347379993,-71.074840007,,,,"Back Bay","SRID=4326;POINT(-71.074840007 42.347379993)","{""status"":1,""walkscore"":99,""description"":""Walker's Paradise"",""updated"":""2016-03-16 01:42:38.810900"",""logo_url"":""https://cdn.walk.sc/images/api-logo.png"",""more_info_icon"":""https://cdn.walk.sc/images/api-more-info.gif"",""more_info_link"":""https://www.redfin.com/how-walk-score-works"",""ws_link"":""https://www.walkscore.com/score/loc/lat=42.347379993/lng=-71.074840007/?utm_source=mapc.org\u0026utm_medium=ws_api\u0026utm_campaign=ws_api"",""help_link"":""https://www.redfin.com/how-walk-score-works"",""snapped_lat"":42.348,""snapped_lon"":-71.0745}",,,,
