gid,id,muni_id,muni,parloc_id,fy,geom,﻿name,year_compl,yrcomp_est,status,address,reverse_address,muni_id2,municipal,state,zip_code,nhood,ct10_id,county,rpa,hu,singfamhu,smmultifam,lgmultifam,units_1bd,units_2bd,units_3bd,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,gqpop,commsf,ret_sqft,ofcmd_sqft,indmf_sqft,whs_sqft,rnd_sqft,ei_sqft,other_sqft,hotel_sqft,hotelrms,rptdemp,estemp,height,stories,total_cost,rdv,asofright,clusteros,phased,stalled,mixed_use,headqtrs,ovr55,onsitepark,park_type,prjarea,publicsqft,descr,prj_url,devlper,loc_id,parcel_fy,n_transit,d_n_trnsit,floodzone,walkscore,latitude,longitude,mb_url,creator_id,created_at,updated_at,cartodb_id
1,4520,49,Cambridge,F_766866_2959374,2012,SRID=26986;POINT(233748.861599997 902045.352200001),399 Binney Street,2018,False,in_construction,399 binney street,1-3 ONE KENDALL SQUARE,49,Cambridge,MA,2141,,,,,0,,,,,,,,,,,,,172500,1500,171000,0,0,0,0,0,0,,,0,45,4,,False,False,False,False,,,,False,0,,172500,,"mixed-use office, lab and retail space, new addition to the existing nine-building One Kendall Square campus. By Alexandria Real Estate Equities (acquired One Kendall Sq from Divco West; first expansion to One Kendall)
Approximately 1,500 square feet of retail space will be located along 399 Binney Street's ground floor fronting the existing pedestrian plaza leading to the Kendall Square Theater. A second public courtyard will be created along Cardinal Medeiros Avenue.
Parking will be accommodated in the existing One Kendall Square garage.",,Alexandria Real Estate Equities,F_766866_2959374,2012,Bus stop: Hampshire St @ Cardinal Medeiros Ave,,,,,,http://massbuilds.com/developments/4520,362,,,1359
2,4518,35,Boston,M_239835_904064,2017,SRID=26986;POINT(239759.492200002 904050.266899999),175 McClellan Highway,2020,False,planning,175 mcclellan highway,175 WILLIAM F MCCLELLAN HIGHWAY,35,Boston,MA,2128,,,,,300,,,300,,,,,,,,,,,,,,,,,,,,,0,,,,True,False,False,False,,,,False,0,,,,"Proposed mixed-use development featuring approximately 300 residential units in two or more buildings. By Gate Residential and Bulgroup Properties
Proposal on  3.29 acrea surface parking lot currently leased to Avis Car Rental. The parking lot is a section of a 13.7-acre site owned by Bulgroup Properties on which stands a multi-tenant 400,000-square-foot warehouse and office building.",, Gate Residential and Bulgroup Properties,M_239835_904064,2017,Bus stop: McClellan Highway @ Addison St,,,,,,http://massbuilds.com/developments/4518,362,,,1324
3,4519,35,Boston,M_240143_904498,2017,SRID=26986;POINT(240152.836000003 904494.331599999),Hilton Garden Inn Expansion,2020,False,planning,415 McClellan Highway,100 BOARDMAN STREET,35,Boston,MA,2128,,,,,0,,,,,,,,,,,,,45718,,,,,,,,45718,84,,0,60,5,,True,False,False,True,,,,False,-25,,45718,,"Proposed 84-room, 45,718-square-foot addition to the newly built $32 million, 178-room, 102,525-square-foot Hilton Garden Inn hotel in East Boston, which opened in 2015. The addition would create a 262-room, 148,243-square-foot hotel, and would replace two approved retail structures totaling 10,305 square feet that would have comprised Phase Two of the project.
25 parking spaces would be eliminated as part of the proposed expansion, reducing total on-site parking to 321 vehicle spaces",,,M_240143_904498,2017,Bus stop: Boardman St @ Leyden St,,,,,,http://massbuilds.com/developments/4519,362,,,1349
4,4521,35,Boston,M_234908_899298,2017,SRID=26986;POINT(234903.293200001 899297.109299999),201 West Brookline Street,2017,False,in_construction,201 west brookline street,195 WEST BROOKLINE STREET 1,35,Boston,MA,2118,,,,,9,0,0,9,,,,,,,,,0,,,,,,,,,,,,0,,5,,True,False,False,False,,,,False,21,underground,29314,,"luxury condo units in restored Concord Baptist Church in heart of South Boston. By Triad Alpha Partners  
In restored and modernized church, features 1 penthouse unit and underground garage",,Triad Alpha Partners  ,M_234908_899298,2017,Bus stop: Tremont St @ W Brookline St,,,,,,http://massbuilds.com/developments/4521,362,,,1350
5,4525,24,Belchertown,M_124582_891817,2018,SRID=26986;POINT(124573.315300003 891830.435600001),Christopher Heights - Belchertown,2018,False,in_construction,8 Berkshire Ave,8 BERKSHIRE AVENUE,24,Belchertown,MA,1007,,,,,83,0,0,83,,,,43,,43,,,0,,,,,,,,,,,100,0,,3,15900000,True,False,False,False,,,,True,0,,55000,,"mixed income assisted living senior housing. By Grantham Group, at former Belchertown State School, on less than 5 acre parcel
43 designated for low income seniors
40 permanent jobs will be created to run facility, and 60 construction jobs created",,Grantham Group,M_124582_891817,2018,,,,,,,http://massbuilds.com/developments/4525,362,,,1338
6,4527,161,Ludlow,M_119400_878772,2014,SRID=26986;POINT(119052.431199998 878788.349199999),Ludlow Mills - Residences at Mill 10,2017,False,completed,68 State Street,100 STATE STREET,161,Ludlow,MA,1056,,,,,75,0,0,75,63,12,,66,15,,51,,0,,,,,,,,,,,,0,,4,19300000,True,False,False,False,False,,,True,0,,108163,,"Mixed income affordable senior housing as part of Ludlow Mills redevelopment. By WinnCompanies
Residences include 63 one-bedrooms and 12 two-bedrooms. 51 residences at Residences at Mill 10 are reserved for households with incomes at or below 60% of AMI, with 15 restricted to households at or below 30% of AMI and nine offered at market rates.",,WinnCompanies,M_119400_878772,2014,,,,,,,http://massbuilds.com/developments/4527,362,,,1351
7,4531,35,Boston,M_236863_901561,2017,SRID=26986;POINT(236866.603 901559.796799999),Cambridge Crossing - 250 North Street,2019,False,in_construction,250 North Street,250 NORTH STREET 5,35,Boston,MA,2113,,,,,0,,,,,,,,,,,,,430000,17000,0,0,0,0,0,0,0,,,0,143,11,,False,False,False,True,,,True,False,348,underground,430000,,"Science and tech lab & office building with ground retail overlooking NorthPoint Common. First phase of DivcoWest's Cambridge Crossing development. As part of Cambridge Crossing's first phase, 250 North Street will front a new park, Baldwin Park, and will be located across a future retail pavilion. 
Site includes 3 levels of underground parking, and 110 bike storage spaces",,Divco West,M_236863_901561,2017,Aquarium,,,,,,http://massbuilds.com/developments/4531,362,,,1325
8,4532,35,Boston,M_229445_900796,2017,SRID=26986;POINT(229463.193800002 900807.611000001),Boston Landing - 80 Guest Street,2016,False,completed,80 guest street,94 GUEST STREET,35,Boston,MA,2135,,,,,0,,,,,,,,,,,,,297000,12000,230000,0,0,0,0,55000,0,,,0,151,10,,False,False,False,False,,,,False,0,garage,486000,,"Mixed use office, lab and retail space at Boston Landing development. By NB Development Group 
230,000 sf of Class A office and laboratory space, the 55,000-square-foot Warrior Ice Arena official practice facility of the Boston Bruins, 12,000 square feet of ground-floor retail and three levels of garage parking.",,NB Development Group,M_229445_900796,2017,Bus stop: Guest St @ Life St,,,,,,http://massbuilds.com/developments/4532,362,,,1339
9,4534,35,Boston,M_241216_904950,2017,SRID=26986;POINT(241158.994199999 905084.129900001),Suffolk Downs,2037,True,planning,525 Mcclellan highway,525 WILLIAM F MCCLELLAN HIGHWAY,35,Boston,MA,2128,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,True,False,False,True,,,,False,0,,11000000,,"Proposed mixed use redevelopment of 161 acres.  Site of former Suffolk Downs horse race track acquired by HYM Investment Group whose proposal for is under review. Transit oriented, pedestrian friendly, 40-acre publicly accessible open space system, 2 new retail squares, with office and lab space, retail and residential.  Multi-phase project starting with multifamily housing with ground floor retail.",,HYM Investment Group,M_241216_904950,2017,Bus stop: McClellan Highway opp Suffolk Downs,,,,,,http://massbuilds.com/developments/4534,362,,,1306
10,4576,275,South Hadley,M_111118_890238,2018,SRID=26986;POINT(111094.053599998 890220.313299999),Mount Holyoke College Centralized Dining,2018,False,completed,50 College St,50 COLLEGE STREET,275,South Hadley,MA,1075,,,,,0,,,,,,,,,,,,,34000,,,,,,34000,,,,0,0,0,0,50000000,True,False,False,False,,,,False,0,,,,"Mount Holyoke College Centralized Dining. A new building for the Centralized Dining & Community Center, consolidating all food service operations within the new building and allowing the ground floor of Blanchard Hall to be reprogrammed with new community center space as needed.",,,M_111118_890238,2018,,,,,,,http://massbuilds.com/developments/4576,335,,,1397
